date,value
2020-03-01,0
2020-03-02,0
2020-03-03,4
2020-03-04,16
2020-03-05,0
2020-03-06,48
2020-03-07,0
2020-03-08,4
2020-03-09,8
2020-03-10,52
2020-03-11,36
2020-03-12,0
2020-03-13,188
2020-03-14,156
2020-03-15,0
2020-03-16,160
2020-03-17,216
2020-03-18,276
2020-03-19,1060
2020-03-20,504
2020-03-21,408
2020-03-22,484
2020-03-23,876
2020-03-24,816
2020-03-25,940
2020-03-26,1020
2020-03-27,1208
2020-03-28,1176
2020-03-29,800
2020-03-30,1180
2020-03-31,1300
2020-04-01,848
2020-04-02,1608
2020-04-03,1696
2020-04-04,1324
2020-04-05,1560
2020-04-06,1480
